title,release_date,director,duration,category,actor,resume,press_rating,spectator_rating,friend_rating
Les Incorruptibles,29 mai 2013,Brian De Palma,1h 59min,Policier,"Kevin Costner,Sean Connery,Charles Martin Smith","A Chicago durant les années trente, lors de la prohibition, Al Capone règne en maître absolu sur le trafic d'alcool. L'agent Eliot Ness et ses hommes partent en guerre contre son gang...","3,3","4,3",--
Dallas Buyers Club,,Jean-Marc Vallée,1h 57min,"Biopic,Drame","Matthew McConaughey,Jennifer Garner,Jared Leto","L'histoire vraie de Ron Woodroof, un électricien qui a été diagnostiqué séropositif en 1986 et dont l'espérance de vie ne devait pas dépasser 6 mois.","3,9","4,3",--
Mon voisin Totoro,13 juin 2018,Hayao Miyazaki,1h 27min,Animation,"Chika Sakamoto,Noriko Hidaka,Shigesato Itoi","Deux petites filles, Mei et Satsuki, viennent s'installer avec leur père dans une grande maison à la campagne afin de se rapprocher de l'hôpital où séjourne leur mère. Elles vont découvrir l'existence de leurs nouveaux voisins, invisible aux yeux des autres humains, des créatures merveilleuses, mais très discrètes : Grand Totoro, Moyen Totoro (Chū-Totoro) et Petit Totoro (Chibi-Totoro). Avec son ventre rebondi, Totoro est un être rare et fascinant, un esprit de la forêt... Il se nourrit de glands et de noix. Il peut voler, se déplacer en « Chat-Bus ». Il dort le jour, mais les nuits de pleine lune, il aime jouer avec des ocarinas magiques...","4,4","4,3",--
Parasite - Version noir et blanc,,Bong Joon Ho,2h 12min,Thriller,"Song Kang-Ho,Woo-sik Choi,Park So-Dam","Le film ressort au cinéma le 19 février en noir et blanc, sous le titre ""Parasite, the Black & White Version"".Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...",,"4,3",
La passion de Jeanne d'Arc,,Carl Theodor Dreyer,1h 50min,"Biopic,Drame,Historique","Maria Falconetti,Eugene Silvain,Andre Berley","En 1431 débute le procès de Jeanne dans le château de Rouen, devant un tribunal ecclésiastique au service de l'occupant anglais. Enchaînée, avec une simplicité désarmante, elle explique ses gestes devant une foule qui a décidé de la condamner avant même le début de son jugement.","4,8","4,3",--
Les Figures de l'ombre,,Theodore Melfi,2h 07min,"Biopic,Drame","Taraji P. Henson,Octavia Spencer,Janelle Monáe","L'histoire de Katherine Johnson, Dorothy Vaughn et Mary Jackson, les cerveaux derrière le premier voyage spatial habité réussi par les Américains en 1962. Ces trois Afro-Américaines travaillaient pour la NASA et ont permis à l’astronaute John Glenn de réaliser son premier vol en orbite.","3,3","4,3",--
Voyage à Tokyo,31 juillet 2019,Yasujirô Ozu,2h 16min,Drame,"Chishû Ryû,Chieko Higashiyama,Setsuko Hara","Un couple de personnes âgées rend visite à leurs enfants à Tokyo. D'abord reçus avec les égards qui leur sont dus, ils deviennent bientôt dérangeants dans leur vie quotidienne.","4,8","4,3",--
À bout de course,22 avril 2009,Sidney Lumet,1h 55min,"Drame,Musical","Steven Hill,Lynne Thigpen,Martha Plimpton","Danny est le fils d'anciens militants contre la guerre du Vietnam. Ses parents Annie et Arthur Pope organiserent un attentat a la bombe contre une fabrique de napalm. Un gardien mourut lors de l'explosion. Depuis, les Pope sont en fuite.","4,8","4,3",--
E.T. l'extra-terrestre,7 septembre 2022,Steven Spielberg,2h 00min,"Aventure,Famille,Science Fiction","Henry Thomas,Drew Barrymore,Dee Wallace","E.T., un extraterrestre, débarque en pleine nuit sur Terre et s'aventure vers Los Angeles. Traqué par des militaires, il se réfugie dans un pavillon de banlieue. Elliot, un jeune garçon, le découvre et va tenter de garder sa présence secrète.","4,8","4,3",--
Le Château dans le ciel,,Hayao Miyazaki,2h 04min,"Aventure,Animation,Fantastique","Mayumi Tanaka,Jim Cummings,Hiroshi Ito","Qui est vraiment Sheeta, la petite fille porteuse d’une pierre en pendentif aux pouvoirs magiques qui suscite bien des convoitises ? Retenue prisonnière à bord d’un dirigeable, l’enfant affronte une bande de pirates de l’air menée par la très pittoresque Dora, puis une armée de militaires à la solde de Muska, un gentleman machiavélique trop poli pour être honnête. Sauvée par le jeune Pazu, Sheeta se réfugie dans un village de mineurs. Là, elle tentera avec le garçon de percer le secret de ses origines pour prouver que l’histoire de Laputa, l’île merveilleuse flottant dans les airs, n’est pas une légende…","5,0","4,3",--
Ratatouille,,Brad Bird,1h 50min,"Animation,Comédie,Famille","Guillaume Lebon,Patton Oswalt,Jean-Pierre Marielle",Les péripéties du rat Rémy dans les coulisses d'un grand restaurant parisien.,"4,5","4,3",--
Le Sommet des Dieux,,Patrick Imbert,1h 35min,"Aventure,Animation,Drame","Lazare Herson-Macarel,Eric Herson-Macarel,Damien Boisseau","A Katmandou, le reporter japonais Fukamachi croit reconnaître Habu Jôji, cet alpiniste que l'on pensait disparu depuis des années. Il semble tenir entre ses mains un appareil photo qui pourrait changer l’histoire de l’alpinisme.","4,2","4,3",--
Mustang,,Deniz Gamze Ergüven,1h 33min,Drame,"Güneş Nezihe Şensoy,Doğa Zeynep Doğuşlu,Elit İşcan","C'est le début de l'été. Dans un village reculé de Turquie, Lale et ses quatre sœurs rentrent de l’école en jouant avec des garçons et déclenchent un scandale aux conséquences inattendues.","4,0","4,3",--
Edmond,,Alexis Michalik,1h 53min,"Comédie,Historique","Thomas Solivérès,Olivier Gourmet,Mathilde Seigner","Décembre 1897, Paris. Edmond Rostand n’a pas encore trente ans mais déjà deux enfants et beaucoup d’angoisses. Il n’a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes.","3,6","4,3",--
La Grande évasion,1 janvier 2020,John Sturges,2h 49min,"Aventure,Drame","Steve McQueen,Charles Bronson,James Donald","Durant la Seconde Guerre Mondiale, des officiers alliés récidivistes de l'évasion sont prisonniers et surveillés étroitement dans un stalag. Malgré cela, ils préparent une évasion massive...","3,8","4,3",--
Taxi Driver,9 novembre 2016,Martin Scorsese,1h 55min,"Policier,Drame","Robert De Niro,Jodie Foster,Harvey Keitel","Vétéran de la Guerre du Vietnam, Travis Bickle est chauffeur de taxi dans la ville de New York. Ses rencontres dans le monde de la nuit, la violence quotidienne qu'il croise lui font peu à peu perdre la tête.","4,8","4,3",--
Les enfants du paradis,,Marcel Carné,3h 09min,"Drame,Romance"," Arletty,Jean-Louis Barrault,Pierre Brasseur","Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance et de Baptiste...","5,0","4,3",--
Le Crime était presque parfait,19 mars 2014,Alfred Hitchcock,1h 45min,"Policier,Thriller","Ray Milland,Grace Kelly,Robert Cummings","Tony, une ancienne gloire du tennis, s'est marié avec Margot pour sa richesse. Mais celle-ci le trompe avec un jeune auteur de romans policiers. Craignant que sa femme le quitte et le laisse sans le sou, Tony décide de la faire assassiner...","4,4","4,3",--
Ordet,9 novembre 2022,Carl Theodor Dreyer,2h 06min,Drame,"Henrik Malberg,Emil Hass Christensen,Preben Lerdorff Rye","En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants.",,"4,3",
Le Mans 66,,James Mangold,2h 33min,"Biopic,Drame","Matt Damon,Christian Bale,Caitriona Balfe",L'histoire des deux constructeurs automobiles s'affrontant au Mans en 1966.,"3,8","4,3",--
Los Olvidados (Pitié pour eux),24 juin 2015,Luis Buñuel,1h 25min,"Policier,Drame","Ernesto Alonso,Jesús García,Roberto Cobo","Dans une banlieue déshéritée de Mexico, El Jaïbo, échappé d’une maison de correction, retrouve sa bande. Ensemble, ils agressent un aveugle et dévalisent un cul-de-jatte. Mais El Jaïbo veut avant tout se venger de Julian, qu’il accuse de l’avoir dénoncé.",,"4,3",
Casablanca,,Michael Curtiz,1h 42min,"Drame,Romance","Humphrey Bogart,Ingrid Bergman,Paul Henreid","Dans son night-club marocain, le cynique Rick Blaine ferme les yeux sur la misère de la Seconde Guerre mondiale jusqu’à ce que son ancienne amante, Ilsa Lund, entre dans la pièce, forçant Rick à choisir entre vivre avec la femme qu’il aime et devenir le héros dont elle a besoin.","4,4","4,3",--
L'Impasse,18 mai 2016,Brian De Palma,2h 23min,"Policier,Drame,Thriller","Al Pacino,Sean Penn,Penelope Ann Miller","En 1975, à New York, Carlito Brigante, un ancien trafiquant de drogue, est libéré de prison. Carlito est décidé à rentrer dans le droit chemin et il compte se retirer aux Bahamas pour s'assurer une retraite paisible. Mais le destin en décidera autrement.","4,8","4,3",--
Room,,Lenny Abrahamson,1h 58min,"Drame,Thriller","Brie Larson,Jacob Tremblay,Joan Allen","Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu.","3,6","4,3",--
Le Chant de la Mer,,Tomm Moore,1h 33min,"Animation,Famille,Fantastique","Jean-Stan du Pac,David Rawle,Patrick Bethune","C’est l’histoire d’une petite fille qui découvre qu’elle est une « silkie », une fée capable de se transformer en phoque. Elle va devoir chanter « le chant de la mer » pour ouvrir au peuple des fées les portes de leur royaume.","3,9","4,3",--
Requiem pour un massacre,24 avril 2019,Elem Klimov,2h 23min,"Drame,Guerre","Aleksei Kravchenko,Olga Mironova,Luibomiras Laucevitchuis","En 1943, en Biélorussie, un jeune villageois, Fliora, déterre le fusil d’un soldat mort et s’engage chez les partisans contre l’envahisseur allemand. Avec l’énergie et l’idéalisme d’un enfant, il plonge dans l’horreur d’un monde qui dépasse les adultes eux-mêmes.",,"4,3",
Vous ne l'emporterez pas avec vous,15 septembre 2010,Frank Capra,2h 07min,"Comédie,Romance","Jean Arthur,Lionel Barrymore,James Stewart","Après avoir fait fortune, le vieux Vanderhof est devenu un sage en pensant que l'argent ne fait pas le bonheur. Il vit entouré de ses petits-enfants et de ses domestiques, pour le moins originaux...","5,0","4,3",--
Amadeus,12 juin 2002,Milos Forman,3h 00min,"Comédie dramatique,Historique","Tom Hulce,F. Murray Abraham,Elizabeth Berridge","Au XVIIIe siècle, à Vienne, Antonio Salieri, le compositeur attitré de l'empereur mélomane Joseph II, tente d'acquérir la gloire éternelle. Pour ce faire, il doit évincer Wolfgang Amadeus Mozart, son rival dont il admire le profond génie.","4,5","4,3",--
Gone Girl,,David Fincher,2h 29min,"Policier,Drame,Thriller","Ben Affleck,Rosamund Pike,Neil Patrick Harris","À l’occasion de son cinquième anniversaire de mariage, Nick Dunne signale la disparition de sa femme, Amy. Sous la pression de la police et l’affolement des médias, l’image du couple modèle commence à s’effriter. Très vite, les mensonges de Nick et son étrange comportement amènent tout le monde à se poser la même question : a-t-il tué sa femme ?","4,0","4,3",--
Into the Wild,,Sean Penn,2h 28min,"Aventure,Biopic,Drame","Emile Hirsch,Marcia Gay Harden,William Hurt",Le jeune idéaliste Christopher McCandless abandonne la vie que la plupart d'entre nous connait pour les contrées sauvages de l'Alaska.,"3,9","4,3",--
Ernest et Célestine,,Benjamin Renner,1h 16min,Animation,"Lambert Wilson,Pauline Brunner,Anne-Marie Loop","Dans le monde conventionnel des ours, il est mal vu de se lier d’amitié avec une souris. Et pourtant, Ernest, gros ours marginal, clown et musicien, va accueillir chez lui la petite Célestine, une orpheline qui a fui le monde souterrain des rongeurs.","4,3","4,3",--
Le Fanfaron,3 octobre 2018,Dino Risi,1h 45min,Comédie dramatique,"Vittorio Gassman,Jean-Louis Trintignant,Catherine Spaak","Un Méditerranéen très en verve, désinvolte, charmeur et... fanfaron, fait la connaissance d'un étudiant en droit studieux, timide et complexé. Il va lui faire vivre deux jours de randonnées trépidantes de Rome à Viareggio...",,"4,3",
Captain Fantastic,,Matt Ross,1h 58min,Comédie dramatique,"Viggo Mortensen,Frank Langella,George MacKay","Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux.","3,6","4,3",--
Imitation Game,,Morten Tyldum,1h 55min,"Biopic,Drame","Benedict Cumberbatch,Keira Knightley,Matthew Goode","1940 : Alan Turing, mathématicien, cryptologue, est chargé par le gouvernement Britannique de percer le secret de la célèbre machine de cryptage allemande Enigma, réputée inviolable.","3,4","4,3",--
Barberousse,17 avril 2019,Akira Kurosawa,3h 05min,Drame,"Toshirô Mifune,Yûzô Kayama,Tsutomu Yamazaki","Au 19e siècle, Noboru est affecté dans une clinique où le médecin chef, surnommé Barberousse, est entièrement dévoué à la cause des déshérités. D'abord réticent, Noboru est peu à peu fasciné par cet homme au coeur pur...","5,0","4,3",--
Inglourious Basterds,,Quentin Tarantino,2h 33min,"Action,Guerre","Brad Pitt,Mélanie Laurent,Christoph Waltz","Dans la France occupée de 1940, Shosanna assiste à l'exécution de sa famille tombée entre les mains d'un colonel nazi. Au même moment, le lieutenant Raine forme un groupe de soldats juifs américains pour mener des actions punitives contre les nazis.","3,7","4,3",--
"America, America",,Elia Kazan,2h 54min,"Biopic,Drame,Historique","Stathis Giallelis,Frank Wolff,Elena Karam","Au début du siècle, un jeune Anatolien fuit un pays où Grecs et Arméniens sont persécutés par les Turcs. Il désire émigrer en Amérique, mais s'aperçoit bien vite que ce périple vers la terre promise est un parcours semé d'embûches.",,"4,3",
The Great Debaters,,Denzel Washington,2h 06min,"Biopic,Drame","Nate Parker,Jurnee Smollett",Une histoire vraie se déroulant en 1935 dans une école américaine réservée aux Noirs.,,"4,3",
Eve,25 mars 2015,Joseph L. Mankiewicz,2h 10min,Drame,"Bette Davis,Anne Baxter,George Sanders","Eve Harrington reçoit, des mains d'un vieil acteur, le Prix Sarah Siddons. L'entourage de celle-ci se souvient de son ascension.",,"4,3",
La Trilogie Marseillaise de Marcel Pagnol : César,10 juillet 2019,Marcel Pagnol,2h 12min,Comédie dramatique," Raimu,Pierre Fresnay,Fernand Charpin","Fanny, abandonnée par Marius, épouse Panisse qui adopte Césariot, l’enfant de l’amour, et l’élève comme son fils. Aujourd’hui, Césariot est adulte et Panisse se meurt. Fanny révèle la vérité à son fils qui décide alors de partir à la recherche de Marius, son père…",,"4,3",
Memories of Murder,5 juillet 2017,Bong Joon Ho,2h 10min,"Action,Policier,Drame","Song Kang-Ho,Kim Sang-kyung,Hie-bong Byeon","En 1986, dans la province de Gyunggi, le corps d'une jeune femme violée puis assassinée est retrouvé dans la campagne. Deux mois plus tard, d'autres crimes similaires ont lieu. Dans un pays qui n'a jamais connu de telles atrocités, la rumeur d'actes commis par un serial killer grandit de jour en jour. ","4,4","4,3",--
M le Maudit,,Fritz Lang,1h 52min,"Policier,Thriller","Peter Lorre,Otto Wernicke,Gustaf Gründgens","Toute la presse ne parle que de ça : le maniaque tueur d’enfants, qui terrorise la ville depuis quelques temps, vient de faire une nouvelle victime. Chargé de l’enquête, le commissaire Lohmann multiplie les rafles dans les bas-fonds.","5,0","4,3",--
Jurassic Park,1 mai 2013,Steven Spielberg,2h 02min,"Aventure,Science Fiction","Sam Neill,Laura Dern,Jeff Goldblum",C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures.,"3,4","4,3",--
Le Prestige,,Christopher Nolan,2h 08min,"Drame,Thriller","Hugh Jackman,Christian Bale,Michael Caine","Londres, au début du siècle dernier... Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. L'émulation tournera vite à la jalousie, puis à la haine...","3,2","4,3",--
Hors Normes,,Eric Toledano,1h 55min,Comédie,"Vincent Cassel,Reda Kateb,Hélène Vincent","Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés ""d'hyper complexes"".","3,9","4,3",--
Jour de colère,,Carl Theodor Dreyer,1h 32min,Drame,"Preben Lerdorff Rye,Throkild Roose,Lisbeth Movin","Au XVIIe siecle, une jeune femme est condamnee au bucher pour avoir aime le fils de son mari pasteur. Denoncee par sa belle-mere, elle avoue etre une sorciere.",,"4,3",
La Fille de Ryan,,David Lean,3h 15min,"Drame,Historique,Romance","Robert Mitchum,Trevor Howard,Christopher Jones","Irlande. 1916. Rosy Ryan épouse le maître d'école du village, de quinze ans son aîné. Déçue par cette union, elle tombe amoureuse du major anglais venu prendre le commandement de la garnison voisine...","4,0","4,3",--
Philadelphia,,Jonathan Demme,2h 05min,Drame,"Tom Hanks,Denzel Washington,Mary Steenburgen",Un jeune avocat atteint du sida doit engager un petit avocat pour attaquer son cabinet pour licenciement abusif.,"3,6","4,3",--
Toy Story,,John Lasseter,1h 17min,"Animation,Comédie,Famille","Richard Darbois,Tim Allen,Jacques Ferrière","Quand Andy quitte sa chambre, ses jouets se mettent à mener leur propre vie sous la houlette du cowboy Woody. Débarque alors Buzz l'éclair, intrépide aventurier de l'espace venu d'une lointaine galaxie, qui va semer la zizanie dans ce petit monde.","4,0","4,3",--
L'Insulte,,Ziad Doueiri,1h 49min,Drame,"Adel Karam,Kamel El Basha,Diamand Abou Abboud","A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face.","3,8","4,3",--
Illusions Perdues,,Xavier Giannoli,2h 30min,"Drame,Historique","Benjamin Voisin,Cécile de France,Vincent Lacoste","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice.","4,0","4,3",--
Dune,,Denis Villeneuve,2h 36min,"Drame,Science Fiction","Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","L'histoire de Paul Atreides, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers.","4,0","4,3",--
Une journée particulière,17 juin 2009,Ettore Scola,1h 45min,Comédie dramatique,"Sophia Loren,Marcello Mastroianni,John Vernon","A Rome le 6 mai 1938. Alors que tous les habitants de l'immeuble assistent au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.","5,0","4,3",--
Terminator 2 : le Jugement Dernier,13 septembre 2017,James Cameron,2h 17min,"Action,Science Fiction","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong","Dans cette suite, un Terminator reprogrammé est envoyé du futur afin de protéger le jeune John Connor d'un implacable cyborg protéiforme.","3,8","4,3",--
La Fille du puisatier,,Marcel Pagnol,2h 50min,Comédie dramatique,"Josette Day, Fernandel,Fernand Charpin","Fille aînée du puisatier Amoretti, Patricia s'éprend de Jacques Mazel, un jeune aviateur, issu d'une famille de riches commerçants. Lorsque la guerre éclate, Jacques part rejoindre son escadrille, ignorant que Patricia attend un enfant de lui. Blâmée par son père, la jeune fille est également rejetée par les parents de Jacques.",,"4,3",
J'ai rencontré le Diable,,Kim Jee-Woon,2h 22min,"Drame,Thriller","Lee Byung-Hun,Choi Min-sik,Oh San-ha",Un agent secret recherche le serial killer qui a tué sa fiancée...,"4,2","4,3",--
Rendez-vous,22 septembre 2010,Ernst Lubitsch,1h 37min,"Comédie,Romance","Margaret Sullavan,James Stewart,Frank Morgan","Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.","4,0","4,3",--
Les Diaboliques,8 novembre 2017,Henri-Georges Clouzot,1h 57min,"Drame,Epouvante-horreur,Thriller","Noël Roquevert,Simone Signoret,Vera Clouzot","Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît...",,"4,3",
Violet Evergarden - le film,,Taichi Ishidate,2h 21min,"Animation,Drame,Fantastique","Yui Ishikawa,Daisuke Namikawa,Takehito Koyasu","Violet Evergarden est toujours incapable d'oublier Gilbert, son ancien supérieur hiérarchique. Un jour, alors qu'elle reçoit une demande d'un jeune client, CH Postal découvre une lettre sans adresse dans leur entrepôt.","2,7","4,3",--
Rain Man,,Barry Levinson,2h 13min,Comédie dramatique,"Dustin Hoffman,Tom Cruise,Valeria Golino","A la mort de son père, Charlie Babbitt, homme d'affaires pressé, hérite d'une vieille Buick qu'il convoitait depuis longtemps mais se voit spolié de quelque trois millions de francs versés à l'Institution psychiatrique Wallbrook au profit d'un bénéficiaire anonyme. Charlie se rend a Wallbrook et découvre l'heureux bénéficiaire. Il s'agit ...","3,6","4,3",--
Je veux manger ton pancréas,,Shin'ichirô Ushijima,1h 48min,"Animation,Drame,Romance","Mahiro Takasugi, Lynn,Yukiyo Fujii","Sakura est une lycéenne populaire et pleine de vie. Tout l’opposé d'un de ses camarades solitaires qui, tombant par mégarde sur son journal intime, découvre qu’elle n’a plus que quelques mois à vivre... Unis par ce secret, ils se rapprochent et s'apprivoisent.",,"4,3",
Panique,30 mars 2016,Julien Duvivier,1h 31min,"Policier,Drame","Michel Simon,Viviane Romance,Lucas Gridoux","Monsieur Hire est un homme que les villageois jugent comme bizarre et presque inquiétant. Lorsqu'un crime est commis, le vrai coupable cherche donc à faire porter le chapeau à ce coupable idéal.",,"4,3",
The Normal Heart,,Ryan Murphy,2h 12min,Drame,"Mark Ruffalo,Julia Roberts,Matt Bomer","Une adaptation de la pièce The Normal Heart, qui décrit la montée en puissance du virus du sida dans les années 80 et le combat d'un écrivain-activiste, Ned Weeks, fondateur d'un groupe d'aide luttant contre la maladie.",,"4,3",
Klaus,,Sergio Pablos,1h 36min,Animation,"Alex Lutz,Jason Schwartzman,Ludivine Sagnier",Un jeune facteur affecté à une sinistre petite ville glacée du pôle Nord découvre que le père Noël s'y cache.,"4,2","4,3",--
Papillon,,Franklin J. Schaffner,2h 25min,"Aventure,Biopic,Drame","Steve McQueen,Victor Jory","Henri ""Papillon"" Charrière, un malfrat de petite envergure, est jugé à tort pour un meurtre qu'il n'a pas commis. Celui-ci est condamné à vie dans une prison d'une colonie française : le bagne de Cayenne.","4,0","4,3",--
Printemps tardif,31 juillet 2019,Yasujirô Ozu,1h 48min,Drame,"Chishû Ryû,Setsuko Hara,Yumeji Tsukioka","Noriko, une jeune femme âgée d’une vingtaine d’années, vit avec son père veuf, Shukichi. Alors que Noriko s'apprête à s'installer seule, père et fille décident de faire un dernier voyage ensemble…",,"4,3",
Le Temps d'aimer et le temps de mourir,14 août 2019,Douglas Sirk,2h 13min,"Drame,Historique,Guerre","John Gavin,Liselotte Pulver,Jock Mahoney","1944. Alors qu'il revient dans sa ville natale pour une permission, Ernst Graeber, jeune soldat allemand envoyé sur le front russe, rencontre Elisabeth Kruse, dont il tombe amoureux. Mais la guerre qui continue va bouleverser leur histoire...","4,7","4,3",--
Divorce à l'Italienne,15 mai 2019,Pietro Germi,1h 44min,"Comédie,Drame,Romance","Marcello Mastroianni,Daniela Rocca,Stefania Sandrelli","Ferdinando Cefalu, un noble sicilien, est amoureux de sa jeune cousine, Angela. Mais il est marié à Rosalia, une femme insupportable, et le divorce est illégal en Italie... Plein de ressources, Ferdinando concocte donc un "" divorce à l'italienne "" : pousser sa femme dans les bras d'un amant.","4,0","4,3",--
Slumdog Millionaire,,Loveleen Tandan,2h 00min,"Comédie,Comédie dramatique,Romance","Dev Patel,Freida Pinto,Mia Drake"," Le récit pittoresque d'un jeune homme issu des bidonvilles de Mumbai en passe de gagner le jeu télévisé ""Qui veut gagner des millions"".","3,5","4,3",--
Sur la route de Madison,,Clint Eastwood,2h 15min,"Drame,Romance","Meryl Streep,Annie Corley","Michael Johnson et sa soeur Caroline reviennent dans la ferme de leur enfance régler la succession de leur mère, Francesca. Ils vont découvrir tout un pan de la vie de leur mère ignoré de tous, sa brève, intense et inoubliable liaison avec un photographe de passage.","4,6","4,3",--
Midnight Express,,Alan Parker,2h 00min,Drame,"Brad Davis,Irene Miracle,Bo Hopkins","Billy Hayes est arrêté à Istanbul pour avoir sur lui quelques grammes de hashisch. Condamné à perpétuité, il est enfermé dans des geôles d'une extrême inhumanité.","2,0","4,3",--
Soy Cuba,20 octobre 2021,Mikhail Kalatozov,2h 21min,Drame,"Luz Maria Collazo,José Gallardo,Raul Garcia (III)","A travers quatre histoires qui renforcent l'idéal communiste face à la mainmise du capitalisme, ""Soy Cuba"" dépeint la lente évolution de Cuba du régime de Batista jusqu'à la révolution castriste.","4,1","4,2",--
Un Condamné à mort s'est échappé,5 septembre 2018,Robert Bresson,1h 39min,Drame,"François Leterrier,Charles Le Clainche,Maurice Beerblock","Conduit en 1943 au fort de Montluc pour y être exécuté par les Allemands, le lieutenant Fontaine parvient à s'échapper en compagnie d'un autre prisonnier, Jost.",,"4,2",
Impitoyable,21 juin 2017,,2h 11min,"Drame,Western","Gene Hackman,Morgan Freeman","Kansas 1880. William Munny, redoutable hors-la-loi reconverti dans l'élevage va, à la demande d'un jeune tueur, reprendre du service pour venger une prostituée défigurée par un cow-boy sadique.","4,8","4,2",--
Silent Voice,,Naoko Yamada, 2h 09min,"Animation,Drame,Romance","Miyu Irino,Saori Hayami,Aoi Yūki","Nishimiya est une élève douce et attentionnée. Chaque jour, pourtant, elle est harcelée par Ishida, car elle est sourde. Dénoncé pour son comportement, le garçon est à son tour mis à l'écart et rejeté par ses camarades. Des années plus tard, il apprend la langue des signes... et part à la recherche de la jeune fille. ","3,7","4,2",--
Soul,,Pete Docter,1h 40min,"Aventure,Animation,Famille","Omar Sy,Jamie Foxx,Camille Cottin","Au moment où Joe pense que son rêve est désormais à portée de main, un pas malencontreux l’expédie dans un endroit fantastique où il est obligé de réfléchir à nouveau à la signification d’avoir une âme. C’est là qu’il se lie d’amitié avec 22, une âme qui ne pense pas que la vie sur Terre soit aussi bien que ce qu’on veut bien lui faire croire...","4,3","4,2",--
Certains l'aiment chaud,16 janvier 2019,Billy Wilder,2h 01min,"Comédie,Romance","Marilyn Monroe,Tony Curtis,Jack Lemmon","Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent amoureux d'une ravissante créature.","3,2","4,2",--
Gentleman Jim,4 octobre 2006,Raoul Walsh,1h 44min,Drame,"Errol Flynn,Alexis Smith,Jack Carson","Comment, dans les années 1880, le jeune Jim Corbett va devenir Gentleman Jim et donner à la boxe ses lettres de noblesse.",,"4,2",
Une merveilleuse histoire du temps,,James Marsh,2h 03min,"Biopic,Drame","Eddie Redmayne,Felicity Jones,Tom Prior","1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde.","3,3","4,2",--
Lawrence d'Arabie,24 avril 2013,David Lean,3h 36min,"Aventure,Biopic","Peter O'Toole,Alec Guinness,Omar Sharif","Le destin hors du commun de l'officier britannique T. E. Lawrence, qui mena la révolte arabe contre l'occupant turc au cours de la Première Guerre mondiale. Adapté des Sept Piliers de la sagesse, son récit autobiographique.","4,4","4,2",--
