title,release_date,director,duration,category,actor,resume,press_rating,spectator_rating,friend_rating
Il faut sauver le soldat Ryan,,Steven Spielberg,2h 43min,"Drame,Guerre","Ryan Hurst,Tom Hanks,Tom Sizemore","Alors que les forces alliées débarquent à Omaha Beach, Miller doit conduire son escouade derrière les lignes ennemies pour une mission particulièrement dangereuse : trouver et ramener sain et sauf le simple soldat James Ryan, dont les trois frères sont morts au combat en l'espace de trois jours. Pendant que l'escouade progresse en territoire ...","3,0","4,4",--
Top Gun: Maverick,,Joseph Kosinski,2h 11min,Action,"Tom Cruise,Miles Teller,Jennifer Connelly","Après avoir été l’un des meilleurs pilotes de chasse de la Marine américaine, Pete “Maverick"" Mitchell continue à repousser ses limites en tant que pilote d'essai. Il est chargé de former un détachement de jeunes diplômés de l’école Top Gun pour une mission spéciale qu’aucun pilote n'aurait jamais imaginée.","3,7","4,4",--
Les Aventuriers de l'Arche perdue,,,1h 56min,"Action,Aventure","Harrison Ford,Karen Allen,Paul Freeman","1936. L'aventurier Indiana Jones est mandaté pour mettre la main sur le médaillon de Râ, qui serait le premier pas sur le chemin de l'Arche d'Alliance, celle-là même où Moïse conserva les Dix Commandements. Une pièce dont Hitler cherche aussi à s'emparer.","4,6","4,4",--
Matrix,,Lana Wachowski,2h 15min,"Action,Science Fiction","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss","Programmeur anonyme, Thomas Anderson est aussi l'un des pirates les plus recherchés du cyber-space. Il est contacté par un certain Morpheus. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents...","3,4","4,4",--
"Alien, le huitième passager",12 novembre 2003,Ridley Scott,1h 56min,"Epouvante-horreur,Science Fiction","Sigourney Weaver,Tom Skerritt,Veronica Cartwright","Le vaisseau Nostromo et son équipage rentrent sur Terre avec une cargaison de minerai. Mais lors d'un arrêt forcé sur une planète déserte, l'officier Kane se fait agresser par une forme de vie inconnue, une arachnide qui étouffe son visage...","4,4","4,4",--
Toy Story 3,,Lee Unkrich,1h 40min,"Aventure,Animation,Comédie","Jean-Philippe Puymartin,Richard Darbois","Woody le cowboy, Buzz l'Eclair et les autres jouets se retrouvent confrontés à ce qui devait bien arriver un jour : le départ d'Andy pour l'université...","4,7","4,4",--
Le Conte de la princesse Kaguya,,Isao Takahata,2h 17min,"Animation,Drame,Famille","Aki Asakura,Kengo Kora,Takeo Chii","Kaguya, « la princesse lumineuse », est un petit être découvert dans la tige d’un bambou par un vieux paysan. La considérant comme un don du ciel, il l’élève avec sa femme, et très vite l’enfant devient une magnifique jeune fille. De la campagne lointaine jusqu’à la grande capitale, sa fascinante beauté suscitera l’engouement auprès de tous ceux qui la rencontrent et elle sera convoitée par cinq nobles princes qui devront relever d’impossibles défis dans l’espoir d’obtenir sa main. Mais le temps venu, elle devra affronter son destin…","4,5","4,4",--
Fenêtre sur cour,22 octobre 2008,Alfred Hitchcock,1h 50min,"Policier,Thriller","James Stewart,Grace Kelly,Wendell Corey",Un reporter immobilisé par un plâtre observe de sa fenêtre les allées et venues de ses voisins. Le comportement bizarre d'un représentant de commerce l'intrigue à un point tel qu'il le croit meurtrier de sa femme. Fantasme ou réalité ?,"3,9","4,4",--
La Vérité,8 novembre 2017,Henri-Georges Clouzot,2h 07min,Drame,"Brigitte Bardot,Paul Meurisse,Charles Vanel","Dominique Marceau, une jeune fille provocante, est accusée du meurtre de son ancien amant Gilbert Tellier. Au cours du procès, l'histoire de sa relation avec la victime est reconstituée.","4,9","4,4",--
Harakiri,13 août 2008,Masaki Kobayashi,2h 13min,Drame,"Tatsuya Nakadai,Shima Iwashita,Akira Ishihama","Japon, 17ème siècle. Le samouraï Tsugumo vient se présenter à la demeure du clan Lyi. Il veut se faire Hara-kiri. Mais le maître des lieux essaie bien de l'en dissuader. Tsugumo livre alors dans un récit les vraies raisons de son geste...","4,6","4,4",--
Shutter Island,,Martin Scorsese,2h 17min,Thriller,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley","1954. Teddy Daniels et Chuck Aule enquêtent sur la disparition d'une patiente échappée d'un hôpital psychiatrique à sécurité maximale. L'hôpital en question est basé sur Shutter Island, une île située à environ une heure au large de Boston.","3,8","4,4",--
Full Metal Jacket,,Stanley Kubrick,1h 56min,"Drame,Guerre","Matthew Modine,Arliss Howard,Vincent D'Onofrio","Pendant la guerre du Viêt Nam, la préparation et l'entrainement d'un groupe de jeunes marines, jusqu'au terrible baptême du feu et la sanglante offensive du Tết à Huế, en 1968.","4,8","4,4",--
